日付,社員ID,出勤時刻,退勤時刻,休憩時間
2026/06/01,E001,09:00,18:00,60分
2026/06/01,E002,09:00,18:00,60分
2026/06/01,E003,09:00,18:00,60分
2026/06/01,E004,10:00,16:00,60分
2026/06/01,E005,14:00,20:00,60分
2026/06/02,E001,09:00,18:00,60分
2026/06/02,E002,09:00,18:00,60分
2026/06/02,E003,09:00,21:30,90分
2026/06/02,E004,10:00,16:00,60分
2026/06/02,E005,14:00,20:00,60分
2026/06/03,E001,09:00,18:00,60分
2026/06/03,E002,09:00,18:00,60分
2026/06/03,E003,09:00,18:00,60分
2026/06/03,E004,10:00,16:00,60分
2026/06/03,E005,14:00,20:00,60分
2026/06/04,E001,09:00,18:00,60分
2026/06/04,E002,09:00,21:30,90分
2026/06/04,E003,09:00,18:00,60分
2026/06/04,E004,10:00,16:00,60分
2026/06/04,E005,14:00,20:00,60分
2026/06/05,E001,09:00,18:00,60分
2026/06/05,E002,09:00,18:00,60分
2026/06/05,E003,09:00,18:00,60分
2026/06/05,E004,10:00,16:00,60分
2026/06/05,E005,14:00,20:00,60分
2026/06/08,E001,09:00,18:00,60分
2026/06/08,E002,09:00,18:00,60分
2026/06/08,E003,09:00,21:30,90分
2026/06/08,E004,10:00,16:00,60分
2026/06/08,E005,14:00,20:00,60分
2026/06/09,E001,09:00,18:00,60分
2026/06/09,E002,09:00,18:00,60分
2026/06/09,E003,09:00,18:00,60分
2026/06/09,E004,10:00,16:00,60分
2026/06/09,E005,,18:00,60分
2026/06/10,E001,09:00,18:00,60分
2026/06/10,E002,09:00,18:00,60分
2026/06/10,E003,22:00,07:00,60分
2026/06/11,E001,09:00,18:00,60分
2026/06/11,E002,09:00,18:00,60分
2026/06/11,E999,09:00,18:00,60分
2026/06/12,E001,09:00,18:00,60分
2026/06/12,E003,09:00,18:00,60分
2026/06/12,E004,10:00,16:00,60分
2026/06/12,E005,14:00,20:00,60分
2026/06/13,E001,14:00,10:00,0分
2026/06/15,E001,22:00,07:00,60分
2026/06/16,E002,09:00,18:00,60分
2026/06/16,E003,09:00,18:00,60分
