発行区分,発行日,顧客ID,品目ID,数量,備考,ステータス
見積書,2026/07/01,C001,P001,1,システム構築一式,正常
請求書,2026/07/02,C002,P002,3,6月分保守運用,正常
請求書,2026/07/02,C001,P003,1,データ分析プロジェクト,正常
納品書,2026/07/03,C003,P004,10,ユーザー教育実施,正常
見積書,2026/07/04,C004,P005,1,セキュリティ診断実施予定,正常
請求書,2026/07/05,C005,P006,1,クラウド移行支援,正常
納品書,2026/07/06,C002,P001,1,システム更新版,正常
請求書,2026/07/06,C003,P002,2,7月保守運用,正常
見積書,2026/07/07,C001,P007,5,教科書5冊,正常
請求書,2026/07/07,C004,P008,2,オンライン講座2席,正常
納品書,2026/07/08,C005,P003,1,追加分析報告,正常
請求書,2026/07/08,C002,P004,8,トレーニング実施,正常
見積書,2026/07/08,C999,P001,1,存在しない顧客ID,異常
請求書,2026/07/09,C001,P005,,数量未入力案件,異常
納品書,2026/07/09,C003,P006,-2,負の数量,異常
